"timestamp","sys_time","abs_timestamp","raw_x_gyro","raw_y_gyro","raw_z_gyro"
"16702.0","1528923512768","5360022927719","-0.00680542","-0.42286682","0.24664307"
"16707.0","1528923512769","5360027963120","-0.005645752","-0.40618896","0.25202942"
"16712.0","1528923512774","5360032998520","-6.4086914E-4","-0.38842773","0.24862671"
"16717.0","1528923512780","5360038033920","0.0017242432","-0.39956665","0.24632263"
"16722.0","1528923512785","5360043069321","-0.0022888184","-0.40534973","0.25239563"
"16727.0","1528923512790","5360048104721","0.0017242432","-0.42012024","0.24429321"
"16732.0","1528923512795","5360053140122","0.0037841797","-0.41755676","0.24310303"
"16737.0","1528923512799","5360058175522","0.003967285","-0.40873718","0.24621582"
"16742.0","1528923512809","5360063210922","0.008239746","-0.41722107","0.24194336"
"16747.0","1528923512814","5360068246323","0.009399414","-0.41181946","0.2409668"
"16752.0","1528923512819","5360073281723","0.013687134","-0.40657043","0.24424744"
"16757.0","1528923512826","5360078317124","0.016677856","-0.40530396","0.24859619"
"16762.0","1528923512826","5360083352524","0.014678955","-0.4002838","0.25361633"
"16767.0","1528923512834","5360088387924","0.017852783","-0.40470886","0.25369263"
"16772.0","1528923512839","5360093423325","0.017745972","-0.4068451","0.25350952"
"16777.0","1528923512844","5360098458725","0.016983032","-0.39837646","0.25146484"
"16782.0","1528923512849","5360103494126","0.018814087","-0.40179443","0.25123596"
"16788.0","1528923512855","5360108529526","0.017730713","-0.40660095","0.25808716"
"16793.0","1528923512859","5360113564926","0.016845703","-0.40696716","0.25854492"
"16798.0","1528923512864","5360118600327","0.017684937","-0.41036987","0.25250244"
"16803.0","1528923512869","5360123635727","0.017288208","-0.39990234","0.2581482"
"16808.0","1528923512874","5360128671127","0.02017212","-0.39328003","0.25811768"
"16813.0","1528923512879","5360133706528","0.020446777","-0.39552307","0.2541046"
"16818.0","1528923512885","5360138741928","0.017654419","-0.39535522","0.25505066"
"16823.0","1528923512892","5360143777329","0.016784668","-0.4037323","0.25125122"
"16828.0","1528923512894","5360148812729","0.016311646","-0.41171265","0.24942017"
"16833.0","1528923512899","5360153848129","0.015136719","-0.4111328","0.24868774"
"16838.0","1528923512904","5360158883530","0.016784668","-0.40878296","0.24621582"
"16843.0","1528923512909","5360163918930","0.017623901","-0.39857483","0.2456665"
"16848.0","1528923512914","5360168954331","0.019989014","-0.39726257","0.24382019"
"16853.0","1528923512919","5360173989731","0.019012451","-0.39878845","0.24253845"
"16858.0","1528923512924","5360179025131","0.014434814","-0.40382385","0.2399292"
"16863.0","1528923512929","5360184060532","0.011108398","-0.40914917","0.23735046"
"16868.0","1528923512934","5360189095932","0.010375977","-0.40766907","0.23591614"
"16873.0","1528923512939","5360194131333","0.01109314","-0.40875244","0.23374939"
