"timestamp","sys_time","abs_timestamp","raw_x_acc","raw_y_acc","raw_z_acc"
"38551.0","1533402486440","253390575450304","0.3050995","-7.6302643","6.4919434"
"38556.0","1533402486444","253390580485704","0.20927429","-7.6364746","6.423996"
"38561.0","1533402486449","253390585521104","0.40115356","-7.5057526","6.3044434"
"38566.0","1533402486454","253390590556505","0.47343445","-7.809677","6.64209"
"38571.0","1533402486459","253390595591905","0.46800232","-7.4984894","6.536804"
"38576.0","1533402486463","253390600627305","0.43292236","-7.4918976","6.409149"
"38581.0","1533402486469","253390605662706","0.37664795","-7.6248016","6.3755035"
"38586.0","1533402486473","253390610698106","0.4656067","-7.578583","6.3629"
"38591.0","1533402486478","253390615733507","0.4181366","-7.6355896","6.575012"
"38596.0","1533402486483","253390620768907","0.3664093","-7.6832733","6.490967"
"38601.0","1533402486489","253390625804307","0.37322998","-7.4557037","6.3882904"
"38607.0","1533402486493","253390630839708","0.40185547","-7.691147","6.537216"
"38612.0","1533402486499","253390635875108","0.45362854","-7.690399","6.4327087"
"38617.0","1533402486509","253390640910509","0.47369385","-7.5078735","6.452057"
"38622.0","1533402486513","253390645945909","0.4070282","-7.6756897","6.5143433"
"38627.0","1533402486518","253390650981309","0.3997345","-7.5027466","6.5097656"
"38632.0","1533402486523","253390656016710","0.28424072","-7.6687164","6.456421"
"38637.0","1533402486529","253390661052110","0.57670593","-7.4965515","6.4881744"
"38642.0","1533402486533","253390666087511","0.37608337","-7.627426","6.422989"
"38647.0","1533402486538","253390671122911","0.3474579","-7.5513306","6.3821106"
"38652.0","1533402486543","253390676158311","0.37113953","-7.659729","6.4672394"
"38657.0","1533402486548","253390681193712","0.36236572","-7.768509","6.59346"
"38662.0","1533402486553","253390686229112","0.40849304","-7.561142","6.534256"
"38667.0","1533402486558","253390691264512","0.31481934","-7.5920563","6.258133"
"38672.0","1533402486563","253390696299913","0.29275513","-7.375641","6.2858276"
"38677.0","1533402486567","253390701335313","0.32095337","-7.711487","6.531494"
"38682.0","1533402486573","253390706370714","0.5067749","-7.7671204","6.759186"
"38687.0","1533402486577","253390711406114","0.2409668","-7.4589386","6.5415344"
"38692.0","1533402486582","253390716441514","0.16065979","-7.5404053","6.299225"
"38697.0","1533402486588","253390721476915","0.23114014","-7.369385","6.252289"
"38702.0","1533402486595","253390726512315","0.3425293","-7.667755","6.4954987"
"38707.0","1533402486598","253390731547716","0.3261261","-7.6920624","6.729965"
"38712.0","1533402486602","253390736583116","0.24201965","-7.594406","6.488434"
"38717.0","1533402486607","253390741618516","0.19537354","-7.6744995","6.3921204"
"38722.0","1533402486612","253390746653917","0.24942017","-7.4950714","6.3075256"
"38727.0","1533402486617","253390751689317","0.21000671","-7.6596527","6.5907288"
"38732.0","1533402486622","253390756724718","0.1471405","-7.5752563","6.605667"
"38737.0","1533402486627","253390761760118","-0.008575439","-7.595047","6.501251"
"38742.0","1533402486632","253390766795518","-0.0071868896","-7.720703","6.540024"
"38748.0","1533402486637","253390771830919","0.14379883","-7.660492","6.437149"
"38753.0","1533402486642","253390776866319","0.036514282","-7.6801605","6.5706787"
"38758.0","1533402486650","253390781901720","0.0069122314","-7.614258","6.5097504"
"38763.0","1533402486653","253390786937120","0.061645508","-7.6777344","6.5508423"
"38768.0","1533402486657","253390791972520","0.033554077","-7.657028","6.57106"
"38773.0","1533402486669","253390797007921","0.022521973","-7.544449","6.461685"
"38778.0","1533402486670","253390802043321","0.044799805","-7.6871033","6.499542"
"38783.0","1533402486672","253390807078721","-0.045715332","-7.6927643","6.5900574"
"38788.0","1533402486676","253390812114122","0.052230835","-7.6916656","6.6453705"
"38793.0","1533402486681","253390817149522","0.06587219","-7.7615356","6.6811523"
"38798.0","1533402486687","253390822184923","-0.060913086","-7.6314697","6.574127"
"38803.0","1533402486691","253390827220323","0.056350708","-7.4898376","6.352661"
"38808.0","1533402486696","253390832255723","-0.16026306","-7.7302094","6.474945"
"38813.0","1533402486701","253390837291124","0.25312805","-7.7045593","6.691162"
"38818.0","1533402486717","253390842326524","0.13444519","-7.70726","6.585266"
"38823.0","1533402486721","253390847361925","0.027404785","-7.667328","6.579422"
"38828.0","1533402486724","253390852397325","-0.03805542","-7.5180664","6.5493317"
"38833.0","1533402486725","253390857432725","0.010559082","-7.684952","6.565872"
"38838.0","1533402486726","253390862468126","0.04222107","-7.5561676","6.69693"
"38843.0","1533402486730","253390867503526","0.07122803","-7.6823425","6.434021"
"38848.0","1533402486736","253390872538927","0.09849548","-7.659683","6.594681"
"38853.0","1533402486746","253390877574327","0.061264038","-7.5660553","6.528427"
"38858.0","1533402486747","253390882609727","0.022109985","-7.872818","6.7026367"
"38863.0","1533402486750","253390887645128","-0.035598755","-7.398102","6.6338196"
"38868.0","1533402486760","253390892680528","0.035842896","-7.707367","6.326172"
"38873.0","1533402486766","253390897715929","0.0647583","-7.728607","6.5711517"
"38878.0","1533402486766","253390902751329","0.28144836","-7.6699066","6.5621185"
"38883.0","1533402486775","253390907786729","-0.018920898","-7.7958984","6.8405304"
"38889.0","1533402486779","253390912822130","0.16223145","-7.4428253","6.5904694"
"38894.0","1533402486784","253390917857530","-0.082962036","-7.391083","6.4914246"
"38899.0","1533402486789","253390922892930","0.18711853","-7.6296387","6.714798"
"38904.0","1533402486794","253390927928331","0.38565063","-7.5671234","6.643753"
"38909.0","1533402486799","253390932963731","0.31962585","-7.8539734","6.804947"
"38914.0","1533402486805","253390937999132","0.22215271","-7.754242","6.497162"
"38919.0","1533402486809","253390943034532","0.20143127","-7.8332977","6.264038"
"38924.0","1533402486814","253390948069932","0.14099121","-7.7601776","6.5294495"
"38929.0","1533402486819","253390953105333","-7.6293945E-4","-7.7291107","6.7061005"
"38934.0","1533402486825","253390958140733","0.24362183","-7.752594","6.7465363"
"38939.0","1533402486829","253390963176134","0.038986206","-7.6714325","6.695389"
"38944.0","1533402486834","253390968211534","0.13581848","-7.5200806","6.485916"
"38949.0","1533402486839","253390973246934","0.43536377","-7.520462","6.551651"
"38954.0","1533402486844","253390978282335","0.3062439","-7.603546","6.571335"
"38959.0","1533402486849","253390983317735","0.22323608","-7.6168365","6.667801"
"38964.0","1533402486855","253390988353136","0.22363281","-7.681732","6.6149445"
"38969.0","1533402486859","253390993388536","0.13987732","-7.6754913","6.5310516"
"38974.0","1533402486864","253390998423936","0.20822144","-7.6927643","6.492752"
"38979.0","1533402486869","253391003459337","0.35009766","-7.702133","6.5029755"
"38984.0","1533402486873","253391008494737","0.3288269","-7.7243958","6.592758"
"38989.0","1533402486878","253391013530137","0.38363647","-7.6201324","6.4865265"
"38994.0","1533402486884","253391018565538","0.22042847","-7.5245514","6.512619"
"38999.0","1533402486888","253391023600938","0.10769653","-7.544235","6.540497"
"39004.0","1533402486893","253391028636339","0.2232666","-7.5173645","6.482315"
"39009.0","1533402486898","253391033671739","0.15174866","-7.739914","6.700699"
"39014.0","1533402486903","253391038707139","0.30708313","-7.593292","6.6212006"
"39019.0","1533402486908","253391043742540","0.395813","-7.6786346","6.4975586"
"39024.0","1533402486913","253391048777940","0.36296082","-7.713745","6.5208282"
"39030.0","1533402486918","253391053813341","0.19422913","-7.543442","6.5095367"
"39035.0","1533402486923","253391058848741","0.17747498","-7.7553253","6.5651245"
"39040.0","1533402486928","253391063884141","0.15219116","-7.535736","6.535141"
"39045.0","1533402486933","253391068919542","0.1481781","-7.5027924","6.4423065"
"39050.0","1533402486938","253391073954942","0.29100037","-7.656891","6.506912"
"39055.0","1533402486943","253391078990343","0.30703735","-7.6221924","6.523987"
"39060.0","1533402486948","253391084025743","0.16989136","-7.6507263","6.609146"
"39065.0","1533402486952","253391089061143","0.20106506","-7.6208496","6.5639954"
"39070.0","1533402486958","253391094096544","0.24995422","-7.6050415","6.421829"
"39075.0","1533402486963","253391099131944","0.1741333","-7.5888214","6.546524"
"39080.0","1533402486967","253391104167345","0.34407043","-7.63385","6.3652344"
"39085.0","1533402486973","253391109202745","0.22117615","-7.5545654","6.515915"
"39090.0","1533402486977","253391114238145","0.22669983","-7.691162","6.5099945"
"39095.0","1533402486983","253391119273546","0.32312012","-7.54245","6.3908997"
