"timestamp","sys_time","abs_timestamp","raw_x_lin_acc","raw_y_lin_acc","raw_z_lin_acc"
"524.0","1529263881198","256609243048064","-0.19546275","0.05317962","0.26524067"
"528.0","1529263881202","256609247625700","-0.20968415","0.028706193","0.13012218"
"533.0","1529263881208","256609252539030","-0.17295793","0.018756747","0.07163715"
"538.0","1529263881213","256609257482878","-0.10993698","0.0300287","0.063230515"
"543.0","1529263881217","256609262457243","-0.12027515","0.029347897","-0.05367756"
"548.0","1529263881222","256609267401091","-0.116229676","-0.030451298","-0.053920746"
"553.0","1529263881228","256609272711149","-0.13736913","-0.030518293","-0.05182743"
"558.0","1529263881234","256609277258269","-0.15697251","-0.038303256","-0.15586662"
"563.0","1529263881239","256609282202116","-0.19926186","-0.036126733","-0.12691212"
"568.0","1529263881243","256609287145964","-0.17533283","-0.0031015873","-0.12890339"
"573.0","1529263881248","256609292089812","-0.26794168","-0.005553603","-0.21115875"
"578.0","1529263881252","256609297033659","-0.28041646","-6.713867E-4","-0.14876175"
"583.0","1529263881257","256609302343718","-0.2578406","-0.007136464","-0.17193317"
"588.0","1529263881267","256609306921355","-0.23946017","0.0070807934","-0.15232563"
"593.0","1529263881268","256609311865202","-0.22176917","0.03823626","-0.12823677"
"598.0","1529263881272","256609316809050","-0.26180026","0.04560435","-0.038262367"
"602.0","1529263881276","256609321752898","-0.23154223","0.04577744","0.04389"
"607.0","1529263881282","256609326757780","-0.2896398","-0.017878652","-0.05166912"
"613.0","1529263881287","256609332006804","-0.23933125","-0.054979563","-8.678436E-5"
"617.0","1529263881292","256609336584440","-0.33399522","-0.092586875","0.088954926"
"622.0","1529263881310","256609341528288","-0.2791969","-0.14856791","0.14418125"
"627.0","1529263881310","256609346472136","-0.21253337","-0.14296854","0.045555115"
"632.0","1529263881310","256609351415983","-0.21175614","-0.15892112","0.12011719"
"637.0","1529263881313","256609356359831","-0.20796083","-0.033235908","0.14451313"
"642.0","1529263881317","256609361669890","-0.20327303","-0.026440978","0.14272404"
"647.0","1529263881322","256609366217009","-0.21949166","-0.0015103817","0.07496071"
"652.0","1529263881328","256609371160857","-0.21331152","-1.155138E-4","0.10687542"
"657.0","1529263881332","256609376104704","-0.14282703","0.008300066","0.14798355"
"662.0","1529263881336","256609381048552","-0.15026677","0.030813456","0.103777885"
"667.0","1529263881343","256609385992399","-0.14767128","0.02494955","0.10478115"
"672.0","1529263881349","256609391332976","-0.2054322","0.03614366","0.020742416"
"677.0","1529263881350","256609395880095","-0.24688087","-0.0028178692","0.03189659"
"682.0","1529263881358","256609400823942","-0.24932782","-0.06684482","-0.0090379715"
"686.0","1529263881362","256609405767790","-0.30111113","-0.09230113","0.04004383"
"691.0","1529263881365","256609410711638","-0.39739418","-0.11029887","-0.05057144"
"696.0","1529263881371","256609415655485","-0.42958304","-0.17050004","-0.0106163025"
"702.0","1529263881376","256609420965544","-0.50886846","-0.14231765","-0.01591301"
"706.0","1529263881383","256609425543181","-0.5749568","-0.17404819","0.04736519"
"711.0","1529263881385","256609430487028","-0.5583418","-0.20518434","0.10534954"
"716.0","1529263881390","256609435430876","-0.50267017","-0.21267486","0.054286003"
"721.0","1529263881397","256609440374724","-0.44611713","-0.196823","0.098101616"
"726.0","1529263881400","256609445318571","-0.41237685","-0.20270216","0.082567215"
"731.0","1529263881405","256609450628630","-0.3941081","-0.19684982","0.1379776"
"736.0","1529263881410","256609455206267","-0.34847546","-0.14254606","0.1812563"
"741.0","1529263881416","256609460119597","-0.19497569","-0.10095608","0.18646145"
"746.0","1529263881419","256609465063444","-0.1514256","-0.060432196","0.01939869"
"751.0","1529263881424","256609470007292","-0.21215135","-0.065696836","0.045012474"
"756.0","1529263881430","256609474951140","-0.19222173","-0.09270847","0.046878815"
"761.0","1529263881435","256609480291716","-0.13264123","4.234314E-4","0.03226185"
"766.0","1529263881439","256609484838835","-0.09503399","0.009759426","0.029618263"
"770.0","1529263881444","256609489782683","-0.13398397","-0.04275298","-0.076830864"
"775.0","1529263881450","256609494726530","-0.107203335","0.013372779","-0.054885864"
"780.0","1529263881459","256609499670378","-0.083658636","0.0427866","-0.056705475"
"785.0","1529263881460","256609504614226","-0.07265347","-0.0013952255","-0.060857773"
"791.0","1529263881465","256609509924284","-0.08126229","0.0065790415","-0.010672569"
"795.0","1529263881469","256609514501921","3.8433075E-4","0.0030173063","0.09335232"
"800.0","1529263881475","256609519445769","-0.029885516","-0.05701673","0.17524433"
"805.0","1529263881479","256609524389616","-0.08560106","-0.028914928","0.12894917"
"810.0","1529263881485","256609529333464","-0.13098502","-0.05268383","0.09717178"
"815.0","1529263881491","256609534277312","-0.14486256","-0.092537284","0.020784378"
"820.0","1529263881495","256609539587370","-0.10667159","-0.11292982","-0.014867783"
"825.0","1529263881499","256609544165007","-0.08030644","-0.12107086","-0.0054063797"
"830.0","1529263881505","256609549108855","-0.09725246","-0.11694765","0.1337471"
"835.0","1529263881510","256609554022185","-0.14496219","-0.10074997","0.16547298"
"840.0","1529263881514","256609558996550","-0.1142914","-0.056136966","0.2157917"
"845.0","1529263881520","256609563909880","-0.12588844","-0.08973348","0.2468071"
"850.0","1529263881524","256609569250456","-0.09938644","-0.11113155","0.23978424"
"855.0","1529263881528","256609573797575","-0.100642055","-0.07362652","0.18330193"
"859.0","1529263881534","256609578741423","-0.08746144","-0.03184569","0.30671597"
"864.0","1529263881539","256609583685271","-0.087956205","-0.07329476","0.21905899"
"869.0","1529263881543","256609588629118","-0.102008715","-0.08156049","0.122727394"
"874.0","1529263881548","256609593572966","-0.08013986","-0.038112402","0.114583015"
"880.0","1529263881555","256609598883024","-0.06301084","-0.075600386","0.0026865005"
"884.0","1529263881558","256609603460661","-0.03190583","-0.042242765","-0.04686737"
"889.0","1529263881564","256609608404509","-0.11708541","-0.0637933","-0.091249466"
"894.0","1529263881568","256609613348357","-0.08171013","-0.12550282","0.013471603"
"899.0","1529263881574","256609618292204","-0.13226454","-0.09245956","-0.04318428"
"904.0","1529263881583","256609623236052","-0.098154366","-0.06703532","-0.06865883"
"909.0","1529263881586","256609628607146","-0.10299045","-0.15316808","-0.11040497"
"914.0","1529263881588","256609633123747","-0.12191041","-0.08032286","-0.1376524"
"919.0","1529263881593","256609638067595","-0.110901475","-0.048445106","-0.09856129"
"924.0","1529263881598","256609643011442","-0.062924236","-0.06640589","-0.00315094"
"929.0","1529263881603","256609647955290","-0.03251688","-0.029924631","0.020640373"
"934.0","1529263881608","256609652868620","-0.07359585","-0.07871592","0.008820534"
"939.0","1529263881613","256609658209196","-0.09624536","-0.046999216","0.06556988"
"943.0","1529263881617","256609662756315","-0.14373222","-0.07431209","0.07933903"
"948.0","1529263881623","256609667700163","-0.18891136","-0.054362774","0.13786507"
"953.0","1529263881628","256609672644011","-0.13669708","-0.029831648","0.13925362"
"958.0","1529263881633","256609677587858","-0.17895223","-0.106904864","0.008432388"
